Rank,Name,Total_Net_Worth,Total_Net_Worth_Bil,LastChange,LastChange_Bil,YTDChange,YTDChange_Bil,Country,Industry
130,Jim Goodnight ,$16.0B,16,+$133M,0.133,+$2.92B,2.92,UnitedStates,Technology
131,Karl Albrecht Jr,$15.6B,15.6,-$171M,-0.171,+$1.68B,1.68,Germany,Retail
132,Beate Heister ,$15.6B,15.6,-$171M,-0.171,+$1.68B,1.68,Germany,Retail
133,Ray Dalio ,$15.6B,15.6,$0 ,0,+$45.0M,0.045,UnitedStates,Finance
134,Pei Zhenhua ,$15.5B,15.5,+$669M,0.669,+$7.60B,7.6,China,Industrial
135,Charoen Sirivadhanabhakdi ,$15.1B,15.1,-$85.4M,-0.0854,-$592M,-0.592,Thailand,Food&Beverage
136,Dietrich Mateschitz ,$15.1B,15.1,-$16.2M,-0.0162,-$3.06B,-3.06,Austria,Food&Beverage
137,Mikhail Fridman ,$15.1B,15.1,-$115M,-0.115,+$627M,0.627,RussianFederation,Diversified
138,Li Zhenguo ,$15.0B,15,+$1.29B,1.29,+$6.72B,6.72,China,Energy
139,Ricardo Salinas ,$15.0B,15,+$143M,0.143,+$2.04B,2.04,Mexico,Diversified
140,David Tepper ,$14.9B,14.9,$0 ,0,+$2.05B,2.05,UnitedStates,Finance
141,Jim Ratcliffe ,$14.8B,14.8,$0 ,0,-$12.3B,-12.3,UnitedKingdom,Industrial
142,Harold Hamm ,$14.8B,14.8,-$47.5M,-0.0475,+$9.73B,9.73,UnitedStates,Energy
143,Goh Cheng Liang,$14.7B,14.7,+$18.2M,0.0182,-$12.9B,-12.9,Singapore,Industrial
144,Philip Anschutz ,$14.7B,14.7,-$29.6M,-0.0296,+$906M,0.906,UnitedStates,Diversified
145,Sherry Brydson ,$14.6B,14.6,+$53.0M,0.053,+$3.65B,3.65,Canada,Media&Telecom
146,Wang Wenyin ,$14.6B,14.6,-$222M,-0.222,+$4.75B,4.75,China,Commodities
147,Ma Jianrong ,$14.6B,14.6,-$439M,-0.439,+$1.45B,1.45,China,Consumer
148,Lv Xiang-yang ,$14.5B,14.5,+$120M,0.12,+$10.1B,10.1,China,Consumer
149,Jack Dorsey ,$14.4B,14.4,-$347M,-0.347,+$1.81B,1.81,UnitedStates,Technology
150,Brian Chesky ,$14.3B,14.3,-$79.5M,-0.0795,+$1.83B,1.83,UnitedStates,Services
151,Victor Rashnikov ,$14.3B,14.3,-$63.6M,-0.0636,+$3.10B,3.1,RussianFederation,Industrial
152,Lui Che-Woo ,$14.1B,14.1,+$51.4M,0.0514,-$4.27B,-4.27,HongKong,Entertainment
153,Lin Jianhua ,$14.1B,14.1,+$613M,0.613,+$6.87B,6.87,China,Technology
